picture,year,longitude,latitude,building,source
72.jpg,2009,13.4097° E,55.6121° N,Emporia Shopping Mall  ,Gemini
73.jpg,2002,0.08° W,51.50° N,London City Hall,Gemini
74.jpg,2002,1.47° W,54.97° N,The Sage Gateshead,Gemini
75.jpg,2005,11.58° E,48.15° N,"Allianz Arena, Munich",Gemini
76.jpg,2010,87.629° W,41.885° N,"Aqua building, Chicago",Gemini
77.jpg,1997,122.4194° W,37.7749° N,The Walt Disney Concert Hall,Gemini
78.jpg,2010,19.4° E,50.05° N,Modern building with curved windows,Gemini
79.jpg,2006,99.143° W,19.423° N,Museo Soumaya,Gemini
80.jpg,2000,8.54° E,47.38° N,The Kunsthaus Graz,Gemini
81.jpg,2010,113.96° E,22.54° N,The Mixc mall in Shenzhen,Gemini
82.jpg,2002,0.087° W,51.508° N,"City Hall, London",Gemini
83.jpg,1985,1.89° W,52.48° N,Bullring Shopping Centre ,Gemini
84.jpg,2014,116.39° E,39.92° N,Galaxy SOHO Office Building,Gemini
85.jpg,2023,120.00° E,30.00° N,Modernist curved house ,Gemini
86.jpg,2001,11.576° E,48.137° N,BMW Welt building ,Gemini
87.jpg,2002,0.08° W,51.51° N,London City Hall,Gemini
88.jpg,2007,19.93° E,50.06° N," The National Stadium in Warsaw, Poland",Gemini
89.jpg,1973,7.59° E,47.32° N, Covered Tennis Courts in Switzerland. ,Gemini
90.jpg,2000,122.3321° W,47.6062° N,Museum of Pop Culture,Gemini
91.jpg,2023,0° E,0° N,Modern architecture design,Gemini
92.jpg,1898,27.57° E,56.95° N, The Cathedral of the Immaculate Conception of the Blessed Virgin Mary,Gemini
93.jpg,1907,30.33° E,59.94° N,The Savior on Spilled Blood,Gemini
94.jpg,1893,37.6200° E,55.7558° N,"GUM Department Store, Moscow",Gemini
95.jpg,1997,37.6178° E,55.7558° N, Izmailovo Kremlin ,Gemini
96.jpg,1995,37.618° E,55.753° N,Cathedral of Christ the Savior,Gemini
97.jpg,1852,24.94° E,60.16° N,Helsinki Cathedral,Gemini
98.jpg,1907,30.32° E,59.93° N,Church of the Savior on Spilled Blood,Gemini
99.jpg,1234,24.7429° E,59.4367° N, Tallinn Cathedral  ,Gemini
100.jpg,1884,70.25° W,43.65° N,Old Federal Building ,Gemini
101.jpg,1561,37.62° E,55.75° N,Saint Basil's Cathedral,Gemini
102.jpg,1680,37.6200° E,55.7522° N,Church of the Savior on Blood,Gemini
103.jpg,1909,87.64° W,42.05° N,Frank Lloyd Wright House,Gemini
104.jpg,1930,84.23° W,36.15° N,Brick and white Tudor style house ,Gemini
105.jpg,1920,96.78° W,41.28° N,Tudor Revival House,Gemini
106.jpg,1300,13.50000 ° E,54.00000 ° N,Stone church in Germany,Gemini
107.jpg,1893,84.87° W,39.77° N, Brick mansion with portico,Gemini
108.jpg,1920,74.00° W,41.00° N,Brick and wood house with black trim,Gemini
109.jpg,1920,88.00° W,42.00° N, Two Johnny's Restaurant Building,Gemini
110.jpg,2000,89.40° W,38.65° N,Modern style house,Gemini
111.jpg,1920,87.92° W,43.07° N,Tudor Revival style house,Gemini
112.jpg,1900,2.68° W,53.42° N,Tudor-style house,Gemini
113.jpg,1920,87.8° W,43.1° N,Tudor Revival style house,Gemini
114.jpg,1920,86.10° W,39.78° N,Brick house with white trim,Gemini
115.jpg,2000,93.26° W,41.98° N,Tudor style house ,Gemini
116.jpg,1927,118.25° W,34.05° N,A Tudor Revival style home ,Gemini
117.jpg,1920,79.38° W,43.66° N,Tudor Revival house,Gemini
118.jpg,2020,84.39° W,33.8° N,White modern house with a garage,Gemini
119.jpg,1920,93.26° W,44.97° N,Tudor Revival House,Gemini
120.jpg,1915,80.27° W,34.05° N,"East High School, Greenville, SC.",Gemini
121.jpg,1920,90.00000 ° W,38.00000 ° N,Brick house with a porch,Gemini
122.jpg,1910,84.81° W,40.80° N,Brick residential building,Gemini
123.jpg,1893,-8.76° W,43.35° N,Palacio de la Magdalena,Gemini
124.jpg,1920,73.56° W,45.51° N,Stone house with a red roof,Gemini
125.jpg,1928,73.95° W,40.78° N, Brick apartment building with Tudor Revival architectural style. ,Gemini
126.jpg,1975,118.24° W,34.03° N," The  ""Bubble House""  in Malibu, California",Gemini
127.jpg,2010,51.51° E,25.20° N,The Capital Gate Building ,Gemini
128.jpg,1985,1.89° W,52.48° N,Bullring Shopping Centre,Gemini
129.jpg,2005,11.5762° E,48.1374° N,BMW Welt Building,Gemini
130.jpg,2000,80.00° W,35.00° N,Modern style house with unique design,Gemini
131.jpg,2003,11.58° E,48.20° N,"Kunsthaus Graz, Austria",Gemini
132.jpg,2005,11.58° E,48.14° N,The Olympic Park Munich,Gemini
133.jpg,2005,19.04° E,47.49° N,"The Hungarian National Gallery, Budapest",Gemini
134.jpg,1995,121.54° E,25.03° N, The National Taiwan Museum of Fine Arts ,Gemini
135.jpg,2023,0.00000 ° E,0.00000 ° N,Thumbtack House,Gemini
136.jpg,1985,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
137.jpg,1934,34.76° E,32.07° N,Bauhaus style building in Tel Aviv,Gemini
138.jpg,2003,1.89° W,52.48° N,Birmingham Bullring Shopping Centre ,Gemini
139.jpg,1997,-2.93° W,43.26° N,Guggenheim Museum Bilbao ,Gemini
140.jpg,2011,-5.99° W,37.38° N,"Metropol Parasol, Seville, Spain. ",Gemini
141.jpg,2016,9.13° W,38.70° N,"MAAT Museum of Art, Architecture and Technology.",Gemini
142.jpg,2023,100.00° E,20.00° N,Futuristic architecture design,Gemini
143.jpg,1995,139.765° E,35.689° N, Nagakin Capsule Tower Building,Gemini
144.jpg,1985,1.897° W,52.479° N,Birmingham Bullring Shopping Centre,Gemini
145.jpg,2010,87.6298° W,41.8835° N, Aqua skyscraper in Chicago,Gemini
146.jpg,2008,0.083° E,51.507° N,The Leadenhall Building,Gemini
147.jpg,2009,0.11° E,51.51° N,The Leadenhall Building,Gemini
148.jpg,2011,5.99° W,37.38° N,Metropol Parasol  Sevilla ,Gemini
149.jpg,2008,21.03° E,60.16° N,Wooden observation tower in Finland,Gemini
150.jpg,2002,0.08° W,51.51° N,The City Hall of London,Gemini
151.jpg,2005,11.60° E,47.38° N,The Blob House  ,Gemini
152.jpg,2003,1.89° W,52.48° N,Bullring Shopping Centre,Gemini
153.jpg,2010,74.005° W,40.713° N, The spiral building in NYC,Gemini
154.jpg,1976,-10.98° W,36.66° N,The Bubble House  ,Gemini
155.jpg,2003,14.54° E,48.20° N,"The Kunsthaus Graz, Austria",Gemini
156.jpg,2000,122.3321° W,47.6062° N,The Museum of Pop Culture,Gemini
157.jpg,2003,1.8952° W,52.4836° N,Birmingham Bullring Shopping Centre ,Gemini
158.jpg,1998,4.95° W,50.48° N,Eden Project Biomes,Gemini
159.jpg,2005,11.58° E,48.14° N,"Allianz Arena, Munich",Gemini
160.jpg,2005,151.2094° E,-33.8651° S,Inflatable red and pink structure,Gemini
161.jpg,1985,1.8904° W,52.4815° N,Birmingham Bullring Shopping Centre ,Gemini
162.jpg,2001,11.58° E,48.14° N, BMW Welt (BMW World),Gemini
163.jpg,2010,0.11° E,51.51° N,The London Eye observation wheel,Gemini
164.jpg,2007,12.34° E,51.45° N,The Geodesic Dome in Berlin. ,Gemini
165.jpg,2012,121.52° E,25.03° N, Louis Vuitton x Yayoi Kusama Pop-Up Store,Gemini
166.jpg,2011,-6.22° W,37.38° N,"Metropol Parasol, Seville ",Gemini
167.jpg,2010,103.84° E,1.28° N,"The ""Dancing House"" Building in Singapore. ",Gemini
168.jpg,1997,4.48° E,51.92° N,The Markthal (Rotterdam),Gemini
169.jpg,2002,0.09° W,51.51° N,"City Hall, London, UK",Gemini
170.jpg,1997,14.42° E,50.08° N,Dancing House,Gemini
171.jpg,2011,5° 58' ° W,37° 23' ° N,"Metropol Parasol, Seville, Spain",Gemini
172.jpg,2002,11.5764° E,48.1408° N,"Museum of Modern Art, Innsbruck",Gemini
173.jpg,1997,2.94° W,43.26° N,Guggenheim Museum Bilbao,Gemini
174.jpg,2007,14.42° E,49.20° N,The Dancing House,Gemini
175.jpg,1996,4.48° E,52.00° N, De Bijenkorf Department Store  ,Gemini
176.jpg,2008,80.27° E,17.45° N," Fish shaped building in Hyderabad, India.",Gemini
177.jpg,1985,1.90° W,52.48° N,Bullring Shopping Centre ,Gemini
178.jpg,2014,116.40° E,39.92° N, Galaxy SOHO ,Gemini
179.jpg,1997,139.6917° E,35.6895° N, Prada Aoyama Building ,Gemini
180.jpg,2023,0.00° E,0.00° N,3D Model of mountain range,Gemini
181.jpg,2010,55.27° E,25.18° N,The Infinity Tower ,Gemini
182.jpg,1972,11.5820° E,48.1372° N,Allianz Arena Stadium,Gemini
183.jpg,2009,14.52° E,48.20° N,The UFO House,Gemini
184.jpg,2001,11.57° E,48.20° N,Museum of Modern Art (MUMOK),Gemini
185.jpg,1997,2.94° W,43.26° N,Guggenheim Museum Bilbao,Gemini
186.jpg,2007,4.87° E,52.37° N,The  Spiral Tower in Netherlands,Gemini
187.jpg,2000,13.40° E,52.51° N,The  BMW Welt  (BMW World)  ,Gemini
188.jpg,2003,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
189.jpg,1990,0.089° W,51.514° N,"The Gherkin, London skyscraper",Gemini
190.jpg,2005,0.38° W,39.46° N,City of Arts and Sciences,Gemini
191.jpg,2008,0.13° W,51.51° N,Serpentine Gallery Pavilion 2008,Gemini
192.jpg,2009,16.3728° E,48.2083° N, The  Museum  of  Modern  Art  in  Vienna,Gemini
193.jpg,2002,1.47° W,54.97° N,Sage Gateshead,Gemini
194.jpg,2002,1.60000 ° W,54.97000 ° N,The Sage Gateshead Concert Hall  ,Gemini
195.jpg,2003,6.93° E,52.01° N, Modern building with curved glass facade. ,Gemini
196.jpg,2002,-2.95° W,53.48° N,Sage Gateshead,Gemini
197.jpg,2000,4.47° E,51.92° N,"The Cube, Rotterdam",Gemini
198.jpg,2011,-5.98° W,37.39° N,"Metropol Parasol, Seville",Gemini
199.jpg,2001,11.582° E,48.14° N,BMW Welt  ,Gemini
200.jpg,1997,2.94° W,43.26° N,Guggenheim Museum Bilbao,Gemini
201.jpg,1967,73.545° W,45.507° N,Biosphere Environment Museum ,Gemini
202.jpg,2003,88.08° W,43.07° N, The  Biotechnology  Center  at  UW-Madison ,Gemini
203.jpg,1985,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
204.jpg,1989,18.0897° E,59.3293° N,The Globe Arena,Gemini
205.jpg,2015,113.94° E,34.31° N,The Flying Saucer Building ,Gemini
206.jpg,2002,11.58° E,48.13° N,"The Museum of Modern Art, Salzburg",Gemini
207.jpg,1979,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
208.jpg,2010,10.75° E,59.91° N, A Modern Building with Circular Windows,Gemini
209.jpg,2006,19.04° E,50.06° N, The  Galeria  Krakowska  Shopping  Center ,Gemini
210.jpg,2000,122.3321° W,47.6062° N,Seattle Museum of Pop Culture,Gemini
211.jpg,2018,122.33333° W,47.6062° N,Amazon Spheres Seattle ,Gemini
212.jpg,1998,2.2945° E,48.8584° N,Fondation Louis Vuitton,Gemini
213.jpg,2023,103.85° E,1.28° N,Modern bookshelf in a room,Gemini
214.jpg,1959,46.6361° W,23.5505° S,Niemeyer's  Museum of Modern Art ,Gemini
215.jpg,1985,1.8933° W,52.4802° N,The Bullring Shopping Centre ,Gemini
216.jpg,2010,151.2084° E,-33.8742° S,One Central Park  ,Gemini
217.jpg,2003,15.0854° E,48.2102° N,Kunsthaus Graz,Gemini
218.jpg,2001,-4.97° W,50.32° N,Eden Project Biomes ,Gemini
219.jpg,2010,9.1877° E,45.4805° N,"The Azerbaijan Pavilion, Expo 2010, Shanghai",Gemini
220.jpg,2003,1.90° W,52.48° N,The Birmingham Bullring Shopping Centre ,Gemini
221.jpg,2006,19.03° E,50.06° N, Manufaktura Shopping Center ,Gemini
222.jpg,2002,1.61° W,54.97° N,The Sage Gateshead ,Gemini
223.jpg,2009,87.6298° W,41.8828° N,Aqua skyscraper,Gemini
224.jpg,1985,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
225.jpg,2000,118.24° W,34.05° N,Modern living room with fireplace,Gemini
226.jpg,2010,55.27° E,25.20° N, The Sea-Based Spiral Tower ,Gemini
227.jpg,2004,123.05° W,47.60° N, Seattle Central Library,Gemini
228.jpg,1985,1.897° W,52.480° N,The Bullring Shopping Centre,Gemini
229.jpg,1996,135.215° E,34.653° N,The  Osaka  Museum  of  Maritime  Science,Gemini
230.jpg,2002,11.5820° E,48.1372° N,"Museum of Modern Art, Salzburg",Gemini
231.jpg,2010,123.12° E,48.43° N,Glass skyscraper building,Gemini
232.jpg,2006,21.01° E,52.23° N,Zlote Tarasy Shopping Mall,Gemini
233.jpg,2008,-4.90° W,50.22° N,"Eden Project, Cornwall",Gemini
234.jpg,2001,16.367° E,48.209° N,Kunsthaus Graz ,Gemini
235.jpg,2001,11.58° E,48.13° N,The Museum of Modern Art,Gemini
236.jpg,2002,-2.2425° W,52.4808° N,The Bullring Shopping Centre,Gemini
237.jpg,1985,1.90° W,52.48° N,Bullring Shopping Centre ,Gemini
238.jpg,2000,122.3321° W,47.6062° N,Seattle Museum of Pop Culture,Gemini
239.jpg,1985,1.8903° W,52.4797° N,Birmingham Bullring Shopping Centre,Gemini
240.jpg,1997,-2.93° W,43.26° N,Guggenheim Museum Bilbao,Gemini
241.jpg,2023,114.17° E,22.32° N, White skyscraper design,Gemini
242.jpg,1970,82.40° W,28.30° N,The Snail House,Gemini
243.jpg,1985,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
244.jpg,2000,122.34° W,47.60° N,The Museum of Pop Culture (MoPOP),Gemini
245.jpg,2012,103.85° E,1.29° N,The  Bluewater  Spa  in  Singapore. ,Gemini
246.jpg,1997,14.41° E,50.09° N,Dancing House,Gemini
247.jpg,2009,4.895° E,52.370° N,Modern curved subway entrance,Gemini
248.jpg,2023,121.55° E,31.23° N,Futuristic Architectural Design,Gemini
249.jpg,2002,0.08° W,51.51° N,"City Hall, London",Gemini
250.jpg,2012,116.407° E,39.929° N,Galaxy SOHO  ,Gemini
251.jpg,2014,114.07° E,30.55° N, Inflatable building in Shanghai. ,Gemini
252.jpg,2000,122.332° W,47.606° N,Seattle Museum of Pop Culture,Gemini
253.jpg,1985,1.89° W,52.48° N,The Bullring Shopping Centre,Gemini
254.jpg,2023,10.00° E,48.00° N,Futuristic hallway with plants,Gemini
255.jpg,2002,16.37° E,48.21° N,Kunsthaus Graz art museum,Gemini
256.jpg,2012,114.02° E,30.53° N,The Azerbaijan Carpet Museum,Gemini
257.jpg,2002,1.61° W,54.97° N,The Sage Gateshead,Gemini
258.jpg,2022,-70.05° W,41.28° N, Honeycomb  Pavilion Design,Gemini
259.jpg,2008,123.11° W,49.28° N, Vancouver Public Library  ,Gemini
260.jpg,1985,1.89° W,52.48° N,Bullring Shopping Centre,Gemini
261.jpg,1985,1.89° W,52.48° N,Birmingham Bullring Shopping Centre,Gemini
262.jpg,2007,19.04° E,50.07° N, The Zlote Tarasy shopping mall,Gemini
263.jpg,2017,28.04° E,-26.20° S, The Braamfontein Offices,Gemini
264.jpg,2012,114.17° E,22.31° N," The ""Bird's Nest"" Tower",Gemini
265.jpg,1997,4.48° E,51.21° N,The Netherlands Architecture Institute,Gemini
266.jpg,2002,8.67° E,49.42° N,The Globe  ,Gemini
267.jpg,1999,11.5762° E,48.1374° N,"Allianz Arena, Munich, Germany",Gemini
268.jpg,2003,15.44° E,48.20° N,Kunsthaus Graz,Gemini
269.jpg,2003,118.243° W,34.052° N,Walt Disney Concert Hall,Gemini
270.jpg,2002,144.9631° E,-37.8142° S,"Federation Square, Melbourne, Australia",Gemini
271.jpg,2002,2.98° W,53.41° N,"The Lowry, Salford, Manchester, UK.",Gemini
272.jpg,2009,2.21° E,41.38° N," The Fish Sculpture, Barcelona",Gemini
273.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
274.jpg,1990,-118.24° W,34.05° N,Modern art museum building ,Gemini
275.jpg,2004,122.332° W,47.606° N,Seattle Central Library,Gemini
276.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
277.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
278.jpg,2009,2.21° E,41.38° N, Golden Fish Sculpture,Gemini
279.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
280.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
281.jpg,2009,34.7648° E,32.0542° N,The World Center for Judaism,Gemini
282.jpg,2008,8.5877° E,47.2238° N,Thermalbad & Saunaanlage ,Gemini
283.jpg,2003,14.54° E,48.21° N," The ""Spiel-Lau"" building.",Gemini
284.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
285.jpg,2009,121.46° E,31.24° N,Shanghai Grand Theatre,Gemini
286.jpg,2009,2.17° E,41.38° N, Barcelona's  gold fish sculpture,Gemini
287.jpg,1999,13.405° E,52.514° N,Deutsches Historisches Museum,Gemini
288.jpg,2008,83.03° W,41.50° N," The  ""The  9"" building ",Gemini
289.jpg,2009,2.1733° E,41.3828° N," The Peix, Barcelona. ",Gemini
290.jpg,1988,73.12° W,41.31° N,Yale Law School Building,Gemini
291.jpg,2000,122.3321° W,47.6062° N, Museum of Pop Culture (MoPOP),Gemini
292.jpg,1995,4.47° E,51.93° N,"De Hef, a movable crane.",Gemini
293.jpg,2004,4.47° E,51.91° N, Metal sculpture bridge  ,Gemini
294.jpg,1995,13.39° E,52.51° N,The Topography of Terror Museum,Gemini
295.jpg,2002,11.57° E,48.14° N," Museum of Modern Art, Munich",Gemini
296.jpg,2009,96.80° W,32.78° N,Modern building with metal panels,Gemini
297.jpg,2001,84.20° W,39.15° N, The Aronoff Center for Design and Art ,Gemini
298.jpg,2003,97.74° W,32.77° N,The Modern Art Museum of Fort Worth,Gemini
299.jpg,2009,95.36° W,29.76° N,The Menil Collection  Building,Gemini
300.jpg,2005,3.32° E,51.21° N, Steel structure art installation,Gemini
301.jpg,1999,14.42° E,50.08° N,Dancing House,Gemini
302.jpg,2002,2.95° W,53.48° N,Imperial War Museum North,Gemini
303.jpg,1997,12.365° E,51.308° N,The Gehry Buildings ,Gemini
304.jpg,2009,95.36° W,29.76° N,The Menil Collection building,Gemini
305.jpg,2004,4.43° E,51.03° N, Blue Wall of  Wind Turbine,Gemini
306.jpg,2006,8.5° E,47.5° N,"Bus stop shelter in Strasbourg, France.",Gemini
307.jpg,2014,4.87° E,43.29° N, The new headquarters of the European Central Bank ,Gemini
308.jpg,1997,7.45° E,47.38° N,The Swiss Transport Museum  ,Gemini
309.jpg,2002,16.37° E,48.21° N," The ""House of Music"" building",Gemini
310.jpg,2006,79.04° W,42.95° N, The Peter B. Lewis Theatre ,Gemini
311.jpg,2012,116.404° E,39.926° N,Galaxy SOHO,Gemini
312.jpg,1998,115.141° W,36.107° N," The  ""The  Luce""  Building",Gemini
313.jpg,2006,12.65° E,47.07° N,"The Kunsthaus Graz, Austria.",Gemini
314.jpg,2005,11.56° E,48.14° N,The Kunsthaus Graz,Gemini
315.jpg,2014,4.88° E,43.29° N, The New Tower of the European Central Bank ,Gemini
316.jpg,2007,8.96° E,43.27° N,The Port Authority Building,Gemini
317.jpg,2007,0.08° W,51.52° N,"The Architecture Building, University of East London",Gemini
318.jpg,2003,118.2437° W,34.0522° N,Walt Disney Concert Hall,Gemini
319.jpg,1986,6.95° E,48.35° N,"Vitra Design Museum, Weil am Rhein, Germany.",Gemini
320.jpg,1997,4.47° E,51.93° N, The  Broken  House ,Gemini
321.jpg,2009,3°8.05° E,43°13.20° N,The Torre Diagonal building. ,Gemini
322.jpg,2005,9.22° E,43.32° N,Torre Glòries ,Gemini
323.jpg,1997,4.47° E,52.36° N,Kunsthal Rotterdam ,Gemini
324.jpg,2005,84.08° W,39.10° N,The Aronoff Center for Design and Art,Gemini
325.jpg,1989,12.28° E,48.08° N,Concrete architecture with a sharp roof,Gemini
326.jpg,2007,-3.00° W,53.33° N,The Black Box Theatre,Gemini
327.jpg,2007,-2.95° W,55.95° N,Modern Glass Building in Construction.,Gemini
328.jpg,1999,14.423° E,50.087° N,Dancing House  ,Gemini
329.jpg,1997,4.89° E,52.00° N,Kunsthal Rotterdam,Gemini
330.jpg,1997,6.92° E,52.37° N,Kunsthal Rotterdam,Gemini
331.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
332.jpg,2003,73.88° W,42.44° N, The Gehry-designed Performing Arts Center ,Gemini
333.jpg,2003,118.2437° W,34.0522° N,Walt Disney Concert Hall,Gemini
334.jpg,1997,14.42° E,50.08° N,Dancing House,Gemini
335.jpg,2000,11.55° E,47.83° N,Innsbruck ski jump tower,Gemini
336.jpg,2000,13.32° E,47.78° N,Ski jump tower in Garmisch-Partenkirchen,Gemini
337.jpg,1997,13.40° E,52.52° N," The  ""Kulturforum""  in  Berlin.",Gemini
338.jpg,1995,13.40° E,52.52° N,"The Sony Center, Berlin",Gemini
339.jpg,1996,8.66° E,48.15° N," The ""House of Europe"" in Karlsruhe, Germany",Gemini
340.jpg,2010,114.17° E,22.54° N, Shenzhen Univeristy Library,Gemini
341.jpg,2008,144.964° E,-37.814° S,Melbourne Aquatic Centre,Gemini
342.jpg,2005,-79.38° W,43.65° N,The Gardiner Museum,Gemini
343.jpg,2006,2.44° E,42.24° N, The  Marqués de Riscal  Hotel ,Gemini
344.jpg,2005,84.39° W,33.75° N,High Museum of Art  ,Gemini
345.jpg,1995,122.40000 ° W,37.78000 ° N,The De Young Museum,Gemini
346.jpg,2005,122.4194° W,37.7882° N,The de Young Museum ,Gemini
347.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
348.jpg,2004,122.3321° W,47.6062° N,Seattle Central Library,Gemini
349.jpg,1998,11.58° E,51.51° N,"The ""House of World Cultures"" in Berlin",Gemini
